Ref,Val,Package,PosX,PosY,Rot,Side
"J1","FemaleConn_1x6","M22-6540642R",13.800000,-12.500000,180.000000,bottom
"J2","MaleConn_1x6","M22-5330605R",2.200000,-12.500000,0.000000,bottom
