Comment,Designator,Footprint,LCSC Part #（optional)
4.7uF,"C4,C3,C1,C2",0402_C,C23733
0.1uF,C5,0402_C,C1525
1uF,C6,0402_C,C52923
22pF,"C8,C9",0402_C,C70464
MaleConn_1x6,J2,M22-5330605R,C917593
10R,R3,0402_R,C25077
10K,"R4,R1,R7,R2",0402_R,C25744
3.3K,"R6,R5",0402_R,C25890
ME6211C33M5G-N,U1,SOT-23-5,C82942
STM32F042F6P6,U2,STM32F042F6P6,C81000
74LVC2G07,U3,SOT-23-6,C37708
BNO055,U4,IMU-BNO055,C93216
Crystal_32.768K,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C390740
