Designator,Mid X,Mid Y,Layer,Rotation
C1,13.1100mm,-20.1750mm,Bottom,180
C2,10.1000mm,-23.2000mm,Bottom,90
J1,13.8000mm,-12.5000mm,Bottom,270
J2,2.2000mm,-12.5000mm,Bottom,90
U1,12.4750mm,-22.6750mm,Bottom,90
