Comment,Designator,Footprint,LCSC Part #（optional)
4.7uF,"C4,C5,C3,C1,C2",0402_C,C23733
MaleConn_1x6,J2,M22-5330605R,C917593
10R,R5,0402_R,C25077
10K,"R6,R3,R2,R1,R4",0402_R,C25744
ME6211C33M5G-N,U1,SOT-23-5,C82942
STM32F042F6P6,U2,STM32F042F6P6,C81000
BME280,U3,TempHumidyPressure_BME280,C92489
74LVC2G07,U4,SOT-23-6,C37708
