Designator,Mid X,Mid Y,Layer,Rotation
C3,13.9700mm,-21.3130mm,Top,270
C4,3.9500mm,-19.2500mm,Top,180
C5,7.6200mm,-1.7780mm,Top,90
R1,4.6500mm,-17.7500mm,Top,90
R2,2.5450mm,-7.6800mm,Top,0
R3,2.5350mm,-8.7100mm,Top,0
R4,13.9700mm,-19.3270mm,Top,270
R5,4.6300mm,-15.5500mm,Top,90
R6,6.4100mm,-15.9800mm,Top,180
U2,9.4600mm,-20.2900mm,Top,270
U4,2.2900mm,-16.5000mm,Top,90
